semaine;date;date_fr;heure;plateforme;univers;article;slug;appat_seo;texte;lien;image
14;2026-12-03;jeudi 3 déc. 2026;07:30;LinkedIn;ÉPS;Classes difficiles en EPS : durer (3/3);classes-difficiles-partie-3;;"Troisième et dernier volet du guide sur les groupes difficiles en éducation physique. Celui-ci porte sur la durée plutôt que sur la technique.
Il aborde la gestion des conflits dans le groupe, l'observation ciblée des comportements récurrents, la collaboration avec les parents comme partenaires plutôt que comme instance de sanction, et l'articulation entre apprentissage moteur, régulation émotionnelle et compétences sociales.
La question sous-jacente est celle de la soutenabilité : ce qui fonctionne une semaine et ce qui tient encore en mai ne sont pas toujours les mêmes pratiques.
https://zonetotalsport.ca/articles/classes-difficiles-partie-3.html";https://zonetotalsport.ca/articles/classes-difficiles-partie-3.html;promo/classes-difficiles-partie-3-carre.webp
14;2026-12-06;dimanche 6 déc. 2026;10:00;X;ÉPS;Classes difficiles en EPS : durer (3/3);classes-difficiles-partie-3;;"Classes difficiles en ÉPS, partie 3 : se relever d'une séance ratée et tenir jusqu'en juin.
Conflits, collaboration avec les parents, observation ciblée, durabilité :
https://zonetotalsport.ca/articles/classes-difficiles-partie-3.html
#ÉPS #viedenseignant";https://zonetotalsport.ca/articles/classes-difficiles-partie-3.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/classes-difficiles-partie-3.jpg)
15;2026-12-08;mardi 8 déc. 2026;19:00;Facebook;ÉPS;Système d'émulation par dollars en classe;systeme-emulation-dollar;;"La motivation en éducation physique, ça se travaille comme le reste. Un système d'émulation par dollars, bien monté, ça change l'ambiance d'un groupe en quelques semaines.
L'article explique comment le mettre en place sans y passer tes soirées : ce qui mérite un dollar, les niveaux de progression, les défis individuels pis collectifs, pis les récompenses qui fonctionnent vraiment (indice : c'est rarement du matériel).
Tu peux démarrer dès lundi matin.
T'as déjà essayé un système de points ? Ça a tenu combien de temps ?
👉 https://zonetotalsport.ca/articles/systeme-emulation-dollar.html";https://zonetotalsport.ca/articles/systeme-emulation-dollar.html;promo/systeme-emulation-dollar-carre.webp
15;2026-12-10;jeudi 10 déc. 2026;07:30;LinkedIn;ÉPS;Système d'émulation par dollars en classe;systeme-emulation-dollar;;"Le manque de motivation en éducation physique est un phénomène courant, et souvent mal traité : on ajoute de la compétition là où il faudrait de la progression visible.
Cet article détaille la mise en place d'un système d'émulation par dollars à l'échelle d'un groupe : critères d'attribution liés à la participation, à l'effort et à l'attitude, système de niveaux pour rendre la progression individuelle lisible, et défis collectifs pour éviter que le dispositif ne devienne purement individualiste.
Le volet économie de classe (coupons, échanges, récompenses) est décrit avec assez de précision pour être implanté sans phase pilote.
https://zonetotalsport.ca/articles/systeme-emulation-dollar.html";https://zonetotalsport.ca/articles/systeme-emulation-dollar.html;promo/systeme-emulation-dollar-carre.webp
15;2026-12-13;dimanche 13 déc. 2026;10:00;X;ÉPS;Système d'émulation par dollars en classe;systeme-emulation-dollar;;"Un système d'émulation par dollars en ÉPS : ce qui mérite un dollar, les niveaux, les défis collectifs et les récompenses qui fonctionnent vraiment.
Prêt à démarrer lundi matin :
https://zonetotalsport.ca/articles/systeme-emulation-dollar.html
#ÉPS #motivation";https://zonetotalsport.ca/articles/systeme-emulation-dollar.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/systeme-emulation-dollar.png)
16;2026-12-15;mardi 15 déc. 2026;19:00;Facebook;ÉPS;Nawatobi : corde à sauter japonaise en gymnase;nawatobi;;"Une corde à sauter, un tremplin, pis des noms de mouvements en japonais : le nawatobi, c'est le genre d'activité qui fait taire un gymnase au complet.
Arrivé au Québec au début des années 90, ça combine technique, rythme pis travail d'équipe — pis ça impressionne autant les élèves que les parents lors des présentations.
L'article couvre les bases techniques, les formations, la sécurité pis une progression pensée pour le primaire.
Tu l'as déjà essayé avec tes groupes ?
👉 https://zonetotalsport.ca/articles/nawatobi.html";https://zonetotalsport.ca/articles/nawatobi.html;promo/nawatobi-carre.webp
16;2026-12-17;jeudi 17 déc. 2026;07:30;LinkedIn;ÉPS;Nawatobi : corde à sauter japonaise en gymnase;nawatobi;;"Le nawatobi, forme japonaise du saut à la corde pratiquée sur tremplin, a été introduit au Québec au début des années 1990 et reste peu documenté en français.
Cet article en présente les origines, la nomenclature des mouvements par type de rotation, les formations de groupe, les règles de sécurité, ainsi qu'une progression par catégories construite autour de routines de vingt sauts.
C'est une activité intéressante à plusieurs titres en milieu scolaire : faible coût de matériel, forte composante rythmique et coopérative, et rendu spectaculaire lors des présentations de fin d'étape.
https://zonetotalsport.ca/articles/nawatobi.html";https://zonetotalsport.ca/articles/nawatobi.html;promo/nawatobi-carre.webp
16;2026-12-20;dimanche 20 déc. 2026;10:00;X;ÉPS;Nawatobi : corde à sauter japonaise en gymnase;nawatobi;;"Le nawatobi — corde à sauter japonaise sur tremplin — est arrivé au Québec au début des années 90.
Bases techniques, formations, sécurité et progression primaire :
https://zonetotalsport.ca/articles/nawatobi.html
#ÉPS #éducationphysique";https://zonetotalsport.ca/articles/nawatobi.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/nawatobi.png)
17;2027-01-05;mardi 5 janv. 2027;19:00;Facebook;ÉPS;Foobaskill : sport hybride soccer-basket en EPS;foobaskill;;"Le petit qui est bon au soccer mais nul au basket. L'autre, c'est l'inverse. Le foobaskill règle ça : un terrain divisé, deux disciplines dans le même match.
Inventé en 2017 par trois profs d'éducation physique suisses, ça mélange soccer et basketball avec un système de pointage qui force la coopération.
L'article donne les règles complètes, la progression, les éducatifs pis les adaptations pour le primaire.
Ça te tenterait de l'essayer avec ton 3e cycle ?
👉 https://zonetotalsport.ca/articles/foobaskill.html";https://zonetotalsport.ca/articles/foobaskill.html;promo/foobaskill-carre.webp
17;2027-01-07;jeudi 7 janv. 2027;07:30;LinkedIn;ÉPS;Foobaskill : sport hybride soccer-basket en EPS;foobaskill;;"Le foobaskill est un sport hybride développé en 2017 par trois enseignants d'éducation physique suisses : le terrain est divisé en deux zones, une par discipline, et les équipes alternent entre soccer et basketball au cours d'un même match.
L'intérêt pédagogique tient au système de pointage, qui rend une équipe forte dans une seule discipline structurellement incapable de gagner seule — ce qui redistribue les rôles au sein du groupe.
L'article couvre les règles, les bénéfices moteurs et cognitifs, une progression d'apprentissage et les adaptations nécessaires au primaire.
https://zonetotalsport.ca/articles/foobaskill.html";https://zonetotalsport.ca/articles/foobaskill.html;promo/foobaskill-carre.webp
17;2027-01-10;dimanche 10 janv. 2027;10:00;X;ÉPS;Foobaskill : sport hybride soccer-basket en EPS;foobaskill;;"Le foobaskill : soccer et basketball dans le même match, terrain divisé, pointage qui force la coopération. Inventé en 2017 par trois profs d'ÉPS suisses.
Règles, progression, éducatifs, adaptations primaire :
https://zonetotalsport.ca/articles/foobaskill.html
#ÉPS #sportscolaire";https://zonetotalsport.ca/articles/foobaskill.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/foobaskill.png)
18;2027-01-12;mardi 12 janv. 2027;19:00;Facebook;ÉPS;Émulation par dollars à l'échelle de l'école;systeme-emulation-dollars-ecole;;"Quand le système d'émulation fonctionne dans ta classe, la question suivante arrive vite : est-ce qu'on l'étend à l'école au complet ?
L'article couvre le déploiement à grande échelle : comment coordonner plusieurs profs sans que ça devienne un cauchemar administratif, comment fonctionne la semaine des achats d'activités, pis pourquoi il ne faut surtout pas mettre de limite quotidienne.
La suite logique du modèle classe.
Ça existe-tu déjà, un système comme ça, dans ton école ?
👉 https://zonetotalsport.ca/articles/systeme-emulation-dollars-ecole.html";https://zonetotalsport.ca/articles/systeme-emulation-dollars-ecole.html;promo/systeme-emulation-dollars-ecole-carre.webp
18;2027-01-14;jeudi 14 janv. 2027;07:30;LinkedIn;ÉPS;Émulation par dollars à l'échelle de l'école;systeme-emulation-dollars-ecole;;"Passer d'un système d'émulation de classe à un dispositif à l'échelle de l'école change la nature du projet : ce n'est plus une pratique pédagogique individuelle, c'est un chantier d'équipe-école.
Cet article traite des conditions de réussite du déploiement : critères d'attribution partagés entre les enseignants, absence de plafond quotidien pour soutenir la persévérance, et organisation de la « semaine des achats d'activités » — compilation, allocation, planification logistique.
Il précise également le rôle attendu de chaque enseignant dans l'observation et le suivi, qui est la principale cause d'essoufflement des systèmes de ce type après quelques mois.
https://zonetotalsport.ca/articles/systeme-emulation-dollars-ecole.html";https://zonetotalsport.ca/articles/systeme-emulation-dollars-ecole.html;promo/systeme-emulation-dollars-ecole-carre.webp
18;2027-01-17;dimanche 17 janv. 2027;10:00;X;ÉPS;Émulation par dollars à l'échelle de l'école;systeme-emulation-dollars-ecole;;"Étendre un système d'émulation par dollars à l'école entière : coordination entre profs, semaine des achats d'activités, durabilité.
La suite logique du modèle classe :
https://zonetotalsport.ca/articles/systeme-emulation-dollars-ecole.html
#ÉPS #équipeécole";https://zonetotalsport.ca/articles/systeme-emulation-dollars-ecole.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/systeme-emulation-dollars-ecole.jpg)
19;2027-01-19;mardi 19 janv. 2027;19:00;Facebook;ÉPS;SAÉ course primaire : situation prête à utiliser;sae-course;;"Une SAÉ sur la course, complète, prête à utiliser : 8 cours, objectifs différenciés par année, fiche élève incluse, critères alignés sur le PFEQ.
Pas besoin de la réécrire — juste de l'imprimer pis de l'adapter à ton contexte. On explique aussi comment garder la motivation quand on travaille la course sur plusieurs semaines (le vrai défi).
Tu la travailles comment, toi, la course, en début d'année ?
👉 https://zonetotalsport.ca/articles/sae-course.html";https://zonetotalsport.ca/articles/sae-course.html;promo/sae-course-carre.webp
19;2027-01-21;jeudi 21 janv. 2027;07:30;LinkedIn;ÉPS;SAÉ course primaire : situation prête à utiliser;sae-course;;"Une situation d'apprentissage et d'évaluation complète sur la course au primaire, structurée en huit cours, avec des objectifs différenciés selon le niveau et une fiche élève prête à imprimer.
Les critères d'évaluation sont alignés sur le Programme de formation de l'école québécoise, ce qui permet de l'intégrer directement à une planification annuelle plutôt que de la traiter comme une activité isolée.
L'article traite aussi d'un enjeu rarement abordé dans les SAÉ publiées : le maintien de la motivation quand la même compétence motrice est travaillée sur plusieurs semaines consécutives.
https://zonetotalsport.ca/articles/sae-course.html";https://zonetotalsport.ca/articles/sae-course.html;promo/sae-course-carre.webp
19;2027-01-24;dimanche 24 janv. 2027;10:00;X;ÉPS;SAÉ course primaire : situation prête à utiliser;sae-course;;"Une SAÉ sur la course prête à utiliser : 8 cours, objectifs différenciés par année, fiche élève incluse, critères alignés sur le PFEQ.
https://zonetotalsport.ca/articles/sae-course.html
#ÉPS #SAÉ #PFEQ";https://zonetotalsport.ca/articles/sae-course.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/sae-course.jpg)
20;2027-01-26;mardi 26 janv. 2027;19:00;Facebook;ÉPS + service de garde;Les comptes rendus de rencontre sans y passer ta soirée;comptes-rendus-rencontres;;"Comité, rencontre statutaire, rencontre de parents. Tu prends des notes, pis tu passes ta soirée à les remettre au propre. Chaque fois.
L'article montre trois façons de capturer une rencontre selon son type — écrire, parler, ou déposer l'enregistrement — pis comment le compte rendu s'écrit ensuite, décisions et actions comprises. Avec une vue « Mes actions » pour ne plus rien échapper d'une rencontre à l'autre.
Tes comptes rendus, tu les fais quand, honnêtement ? Le soir même ou trois jours plus tard ?
👉 https://zonetotalsport.ca/articles/comptes-rendus-rencontres.html";https://zonetotalsport.ca/articles/comptes-rendus-rencontres.html;promo/comptes-rendus-rencontres-carre.webp
20;2027-01-28;jeudi 28 janv. 2027;07:30;LinkedIn;ÉPS + service de garde;Les comptes rendus de rencontre sans y passer ta soirée;comptes-rendus-rencontres;;"Le compte rendu de rencontre est une tâche à faible valeur perçue et à coût réel élevé : elle est presque toujours reportée, puis exécutée de mémoire, plusieurs jours après la rencontre.
Cet article propose trois modes de capture selon le type de rencontre — prise de notes, dictée, dépôt d'un enregistrement — et distingue deux formats de sortie : la transcription mot à mot et le compte rendu structuré, qui ne servent pas les mêmes usages.
La partie la plus utile concerne le suivi : une vue transversale des actions engagées, qui permet de reprendre un dossier d'une rencontre à l'autre sans relire l'ensemble des documents.
https://zonetotalsport.ca/articles/comptes-rendus-rencontres.html";https://zonetotalsport.ca/articles/comptes-rendus-rencontres.html;promo/comptes-rendus-rencontres-carre.webp
20;2027-01-31;dimanche 31 janv. 2027;10:00;X;ÉPS + service de garde;Les comptes rendus de rencontre sans y passer ta soirée;comptes-rendus-rencontres;;"Comité, statutaire, rencontre de parents : capturer la rencontre en écrivant, en parlant ou en déposant l'enregistrement — le compte rendu s'écrit ensuite, décisions et actions comprises.
https://zonetotalsport.ca/articles/comptes-rendus-rencontres.html
#éducation #productivité";https://zonetotalsport.ca/articles/comptes-rendus-rencontres.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/comptes-rendus-rencontres.jpg)
21;2027-02-02;mardi 2 févr. 2027;19:00;Facebook;ÉPS;Bienfaits du sport pour les enfants : guide EPS;bienfaits-sport-enfants;;"Quand un parent ou une direction te demande « à quoi ça sert vraiment, l'éducation physique ? », ça peut être utile d'avoir les arguments à portée de main.
On a rassemblé sur une seule page les bienfaits du sport chez les enfants du primaire : santé physique, santé mentale, confiance en soi, développement social. Avec des données, pas juste des impressions.
Près d'un enfant sur quatre est en surpoids ou obèse — ça met la conversation en perspective.
Tu utilises quoi comme argument quand on coupe dans tes périodes ?
👉 https://zonetotalsport.ca/articles/bienfaits-sport-enfants.html";https://zonetotalsport.ca/articles/bienfaits-sport-enfants.html;promo/bienfaits-sport-enfants-carre.webp
21;2027-02-04;jeudi 4 févr. 2027;07:30;LinkedIn;ÉPS;Bienfaits du sport pour les enfants : guide EPS;bienfaits-sport-enfants;;"Les enseignants d'éducation physique doivent régulièrement justifier la valeur de leur discipline — devant une direction, un conseil d'établissement, ou des parents.
Cet article rassemble en une page les effets documentés de l'activité physique chez les enfants du primaire : bénéfices sur la santé physique et la prévention, réduction du stress et de l'anxiété, développement de la confiance en soi, et acquisition de compétences sociales.
Les repères de fréquence hebdomadaire y sont précisés, ce qui en fait un document utilisable tel quel en appui à une demande de ressources ou de temps d'enseignement.
https://zonetotalsport.ca/articles/bienfaits-sport-enfants.html";https://zonetotalsport.ca/articles/bienfaits-sport-enfants.html;promo/bienfaits-sport-enfants-carre.webp
21;2027-02-07;dimanche 7 févr. 2027;10:00;X;ÉPS;Bienfaits du sport pour les enfants : guide EPS;bienfaits-sport-enfants;;"« Près d'un enfant sur quatre est en surpoids ou obèse. »
Les bienfaits du sport au primaire — santé physique, mentale, émotionnelle, sociale — rassemblés sur une page :
https://zonetotalsport.ca/articles/bienfaits-sport-enfants.html
#ÉPS #santédesjeunes";https://zonetotalsport.ca/articles/bienfaits-sport-enfants.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/bienfaits-sport-enfants.jpg)
22;2027-02-09;mardi 9 févr. 2027;19:00;Facebook;camp de jour + ÉPS;Color Run à l'école : guide complet d'organisation;color-run;;"Imagine 1000 élèves habillés en blanc qui virent arc-en-ciel en 45 minutes. C'est l'événement dont on parle encore en juin.
Sauf qu'une Color Run, ça se prépare 4 à 6 mois d'avance : budget, parcours, sécurité, poudre, stations, bénévoles. On a mis tout ça dans un guide complet, étape par étape, avec les affaires auxquelles personne ne pense la première fois.
Ton école ou ton camp en a déjà fait une ? Raconte comment ça s'est passé.
👉 https://zonetotalsport.ca/articles/color-run.html";https://zonetotalsport.ca/articles/color-run.html;promo/color-run-carre.webp
22;2027-02-11;jeudi 11 févr. 2027;07:30;LinkedIn;camp de jour + ÉPS;Color Run à l'école : guide complet d'organisation;color-run;;"Une Color Run réussie ressemble à une fête spontanée. Elle est en réalité le résultat de quatre à six mois de planification : budget, choix de date, tracé du parcours, protocole de sécurité, approvisionnement en poudre, recrutement et briefing des bénévoles.
Ce guide décompose l'événement en étapes ordonnées, avec les points de friction que l'on découvre généralement à la première édition : gestion des vents dominants aux stations de couleur, circulation des groupes, nettoyage, et communication aux parents.
Applicable en milieu scolaire comme en camp de jour, pour une centaine de participants comme pour un millier.
https://zonetotalsport.ca/articles/color-run.html";https://zonetotalsport.ca/articles/color-run.html;promo/color-run-carre.webp
22;2027-02-14;dimanche 14 févr. 2027;10:00;X;camp de jour + ÉPS;Color Run à l'école : guide complet d'organisation;color-run;;"1000 élèves en blanc qui deviennent arc-en-ciel : la Color Run, ça se prépare 4 à 6 mois d'avance.
Guide complet — budget, parcours, sécurité, stations, bénévoles :
https://zonetotalsport.ca/articles/color-run.html
#campdejour #événementscolaire";https://zonetotalsport.ca/articles/color-run.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/color-run.jpg)
23;2027-02-16;mardi 16 févr. 2027;19:00;Facebook;camp de jour;20 grands jeux extérieurs pour camp de jour;grands-jeux-exterieurs-camp-de-jour;;"Fin d'après-midi, 30 degrés, un groupe qui commence à s'étioler dans le gazon. Faut sortir un gros jeu, pis vite.
On a monté 20 grands jeux extérieurs clé en main pour les camps de jour : poursuites, jeux d'eau pour la canicule, jeux coopératifs, pis des grands jeux thématiques classés par groupe d'âge.
Tout est gratuit, pas de compte à créer, juste à lire pis à sortir dehors.
Ton grand jeu qui marche à tous les coups, c'est lequel ?
👉 https://zonetotalsport.ca/articles/grands-jeux-exterieurs-camp-de-jour.html";https://zonetotalsport.ca/articles/grands-jeux-exterieurs-camp-de-jour.html;promo/grands-jeux-exterieurs-camp-de-jour-carre.webp
23;2027-02-18;jeudi 18 févr. 2027;07:30;LinkedIn;camp de jour;20 grands jeux extérieurs pour camp de jour;grands-jeux-exterieurs-camp-de-jour;;"Un groupe qui s'ennuie devient, en quelques minutes, un groupe difficile à animer. C'est vrai en camp de jour plus qu'ailleurs, parce que la journée est longue et l'espace, ouvert.
Cet article rassemble 20 grands jeux extérieurs prêts à animer, organisés par intention : brûler de l'énergie, rafraîchir un groupe en canicule, souder une équipe en début de semaine, ou marquer une fin de session.
Chaque jeu est présenté avec son groupe d'âge cible et le matériel réellement nécessaire — rien qui demande un budget d'achat.
Une ressource utile pour les coordonnateurs qui préparent la banque d'activités de leur équipe d'animation.
https://zonetotalsport.ca/articles/grands-jeux-exterieurs-camp-de-jour.html";https://zonetotalsport.ca/articles/grands-jeux-exterieurs-camp-de-jour.html;promo/grands-jeux-exterieurs-camp-de-jour-carre.webp
23;2027-02-21;dimanche 21 févr. 2027;10:00;X;camp de jour;20 grands jeux extérieurs pour camp de jour;grands-jeux-exterieurs-camp-de-jour;;"20 grands jeux extérieurs clé en main pour ton camp de jour : poursuite, eau, coopération, grands jeux thématiques, classés par âge.
Gratuit :
https://zonetotalsport.ca/articles/grands-jeux-exterieurs-camp-de-jour.html
#campdejour #animation";https://zonetotalsport.ca/articles/grands-jeux-exterieurs-camp-de-jour.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/grands-jeux-exterieurs-camp-de-jour.jpg)
24;2027-02-23;mardi 23 févr. 2027;19:00;Facebook;ÉPS;Harcèlement envers les enseignants : agir;harcelement-enseignants;;"On parle beaucoup d'intimidation entre élèves. Beaucoup moins de ce que vivent certains enseignants — de la part de collègues, de parents, parfois de la direction.
L'article aide à reconnaître les signes du harcèlement psychologique en milieu scolaire, explique quoi documenter, à qui s'adresser, et quels recours existent réellement.
Personne ne devrait avoir à gérer ça tout seul.
Est-ce qu'on en parle assez, dans nos écoles ? Si le sujet te concerne ou concerne quelqu'un autour de toi, ça vaut la lecture.
👉 https://zonetotalsport.ca/articles/harcelement-enseignants.html";https://zonetotalsport.ca/articles/harcelement-enseignants.html;promo/harcelement-enseignants-carre.webp
24;2027-02-25;jeudi 25 févr. 2027;07:30;LinkedIn;ÉPS;Harcèlement envers les enseignants : agir;harcelement-enseignants;;"Le harcèlement psychologique en milieu scolaire est bien documenté lorsqu'il touche les élèves, beaucoup moins lorsqu'il vise le personnel enseignant.
Cet article définit ce que recouvre le harcèlement psychologique au travail dans le contexte scolaire, décrit ses manifestations et ses effets sur la santé, puis détaille les démarches concrètes : documentation des faits, signalement interne, recours externes disponibles.
Il aborde également le rôle des politiques d'établissement dans la prévention.
Une ressource à connaître, et à transmettre à une personne qui en aurait besoin.
https://zonetotalsport.ca/articles/harcelement-enseignants.html";https://zonetotalsport.ca/articles/harcelement-enseignants.html;promo/harcelement-enseignants-carre.webp
24;2027-02-28;dimanche 28 févr. 2027;10:00;X;ÉPS;Harcèlement envers les enseignants : agir;harcelement-enseignants;;"Harcèlement psychologique envers les enseignants : reconnaître les signes, documenter, savoir à qui s'adresser et quels recours existent.
Un sujet dont on parle trop peu :
https://zonetotalsport.ca/articles/harcelement-enseignants.html
#éducation #santéautravail";https://zonetotalsport.ca/articles/harcelement-enseignants.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/harcelement-enseignants.jpg)
25;2027-03-02;mardi 2 mars 2027;19:00;Facebook;ÉPS;Suppléance en école : guide pratique terrain;suppleance-ecoles;;"Arriver dans une école que tu ne connais pas, avec six groupes différents dans la journée pis un plan de cours écrit à la main sur un post-it. Bienvenue en suppléance.
L'article rassemble ce qui fait la différence : quoi préparer avant d'arriver, comment accueillir un groupe qui va te tester dans les 90 premières secondes, comment gérer les comportements sans historique, pis quoi laisser comme compte rendu à la fin.
Du concret pour ceux qui commencent — pis des rappels pour les autres.
Ta pire journée de suppléance, elle ressemblait à quoi ?
👉 https://zonetotalsport.ca/articles/suppleance-ecoles.html";https://zonetotalsport.ca/articles/suppleance-ecoles.html;promo/suppleance-ecoles-carre.webp
25;2027-03-04;jeudi 4 mars 2027;07:30;LinkedIn;ÉPS;Suppléance en école : guide pratique terrain;suppleance-ecoles;;"La suppléance concentre en une journée toutes les difficultés du métier : groupe inconnu, absence d'historique relationnel, planification incomplète, et un test systématique de la part des élèves dans les premières minutes.
Ce guide couvre le cycle complet : activation du dossier auprès d'un centre de services scolaire, préparation avant l'arrivée, accueil et installation du climat, gestion des comportements sans connaissance préalable du groupe, et rédaction d'un compte rendu utile à l'enseignant titulaire.
Utile aux personnes qui débutent en suppléance, et aux écoles qui souhaitent mieux les accueillir.
https://zonetotalsport.ca/articles/suppleance-ecoles.html";https://zonetotalsport.ca/articles/suppleance-ecoles.html;promo/suppleance-ecoles-carre.webp
25;2027-03-07;dimanche 7 mars 2027;10:00;X;ÉPS;Suppléance en école : guide pratique terrain;suppleance-ecoles;;"Six groupes inconnus dans la même journée, un plan écrit sur un post-it : le guide pratique de la suppléance au primaire.
Préparation, accueil, gestion sans historique, compte rendu :
https://zonetotalsport.ca/articles/suppleance-ecoles.html
#suppléance #éducation";https://zonetotalsport.ca/articles/suppleance-ecoles.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/suppleance-ecoles.png)
26;2027-03-09;mardi 9 mars 2027;19:00;Facebook;service de garde + ÉPS + camp de jour;Inventaire du matériel sportif : la méthode éclair;inventaire-materiel-sans-effort;;"L'inventaire du matériel, c'est l'affaire qu'on repousse jusqu'à ce qu'on la fasse un samedi, dans un local poussiéreux, en sacrant.
On propose une autre méthode : 4 piliers (tri radical, zonage visuel, micro-inventaires rotatifs, numérisation), 9 solutions adaptées au gymnase, au service de garde pis au camp, avec un plan de 7 jours pour tout démarrer.
Un objet sans adresse est un objet en sursis — c'est pas mal ça, l'idée.
Ton local à matériel, il ressemble à quoi honnêtement en ce moment ?
👉 https://zonetotalsport.ca/articles/inventaire-materiel-sans-effort.html";https://zonetotalsport.ca/articles/inventaire-materiel-sans-effort.html;promo/inventaire-materiel-sans-effort-carre.webp
26;2027-03-11;jeudi 11 mars 2027;07:30;LinkedIn;service de garde + ÉPS + camp de jour;Inventaire du matériel sportif : la méthode éclair;inventaire-materiel-sans-effort;;"L'inventaire du matériel est une tâche invisible : jamais planifiée, jamais rémunérée, et pourtant refaite chaque année dans l'urgence de juin.
Cet article propose de sortir de la logique du grand tableau annuel — statique, obsolète en deux semaines — au profit de quatre piliers : tri radical, zonage visuel du local, micro-inventaires rotatifs et numérisation légère.
Neuf solutions concrètes sont déclinées par milieu (gymnase scolaire, service de garde, camp de jour), suivies d'un plan d'implantation étalé sur sept jours.
Pertinent pour les techniciennes et responsables de service de garde qui gèrent un local partagé entre plusieurs équipes.
https://zonetotalsport.ca/articles/inventaire-materiel-sans-effort.html";https://zonetotalsport.ca/articles/inventaire-materiel-sans-effort.html;promo/inventaire-materiel-sans-effort-carre.webp
26;2027-03-14;dimanche 14 mars 2027;10:00;X;service de garde + ÉPS + camp de jour;Inventaire du matériel sportif : la méthode éclair;inventaire-materiel-sans-effort;;"« Un objet sans adresse est un objet en sursis. »
4 piliers, 9 solutions terrain et un plan de 7 jours pour faire l'inventaire du matériel sans y perdre tes fins de semaine :
https://zonetotalsport.ca/articles/inventaire-materiel-sans-effort.html
#servicedegarde #ÉPS";https://zonetotalsport.ca/articles/inventaire-materiel-sans-effort.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/inventaire-materiel-sans-effort.jpg)
27;2027-03-16;mardi 16 mars 2027;19:00;Facebook;ÉPS;Préparer l'année scolaire en EPS : checklist d'été;avance-annee-scolaire;;"Juin arrive, pis avec lui la tentation de tout fermer pis de partir. Sauf que deux ou trois heures investies maintenant, c'est une rentrée pas mal plus douce en août.
L'article propose une checklist d'été : revoir la planification annuelle, préparer les documents du parascolaire, faire l'inventaire pis passer les commandes pendant qu'il reste du budget, pis faire un vrai bilan de l'année.
Rien d'héroïque — juste les affaires qui coûtent trois fois plus cher à faire en août.
Tu en fais-tu, toi, de la préparation d'été ? Ou tu débranches complètement ?
👉 https://zonetotalsport.ca/articles/avance-annee-scolaire.html";https://zonetotalsport.ca/articles/avance-annee-scolaire.html;promo/avance-annee-scolaire-carre.webp
27;2027-03-18;jeudi 18 mars 2027;07:30;LinkedIn;ÉPS;Préparer l'année scolaire en EPS : checklist d'été;avance-annee-scolaire;;"La fin d'année scolaire est le moment le moins coûteux pour préparer la suivante : le contexte est encore frais, le matériel est sous les yeux, et les budgets ne sont pas tous fermés.
Cette checklist d'été couvre quatre chantiers : révision de la planification annuelle à la lumière de ce qui a réellement fonctionné, préparation administrative du parascolaire et des tournois, inventaire du matériel avec commandes budgétisées, et bilan professionnel personnel.
Une planification structurée reste la colonne vertébrale d'un programme d'éducation physique cohérent — et elle se construit mieux en juin qu'à la mi-août.
https://zonetotalsport.ca/articles/avance-annee-scolaire.html";https://zonetotalsport.ca/articles/avance-annee-scolaire.html;promo/avance-annee-scolaire-carre.webp
27;2027-03-21;dimanche 21 mars 2027;10:00;X;ÉPS;Préparer l'année scolaire en EPS : checklist d'été;avance-annee-scolaire;;"Deux ou trois heures en juin = une rentrée pas mal plus douce en août.
Checklist d'été pour l'ÉPS : planification annuelle, parascolaire, inventaire, commandes avant la fin du budget :
https://zonetotalsport.ca/articles/avance-annee-scolaire.html
#ÉPS #planification";https://zonetotalsport.ca/articles/avance-annee-scolaire.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/avance-annee-scolaire.jpg)
